Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 34,0308; 0; 0,4063943; 0,9798743; False
1; DIED; 40,28096; 0; 0,574715; 0,939595; False
1; DIED; 39,02805; 0; 0,5408387; 0,9089431; False
1; DIED; 72,80677; 1; 0,4939579; 1; False
1; DIED; 45,04405; 1; 0,4195927; 0,9310097; True
1; DIED; 71,48661; 1; 0,4586598; 1; False
1; DIED; 34,59385; 0; 0,4218667; 1; False
1; DIED; 74,64349; 1; 0,5430438; 1; False
1; DIED; 40,71847; 0; 0,5866947; 1; False
1; DIED; 36,40786; 0; 0,4708432; 0,9548336; False
1; DIED; 73,84399; 1; 0,521631; 1; False
1; DIED; 71,39827; 1; 0,4562868; 1; False
1; DIED; 74,60328; 1; 0,5419636; 0,9050404; False
1; DIED; 74,61112; 1; 0,5421743; 1; False
1; DIED; 38,93789; 0; 0,5384192; 0,972491; False
1; DIED; 75,05554; 1; 0,554137; 0,906278; False
1; DIED; 70,67514; 1; 0,4367778; 1; False
1; DIED; 35,45484; 0; 0,4452434; 0,9633796; False
1; DIED; 40,69848; 0; 0,5861451; 1; False
2; DIED; 32,21576; 0; 0,355024; 0,9989137; False
2; DIED; 76,42037; 1; 0,591337; 1; False
2; DIED; 42,21327; 0; 0,6285175; 0,8896701; False
2; DIED; 42,80195; 0; 0,6454915; 0,9617909; False
2; DIED; 42,36274; 0; 0,6327954; 1; False
2; DIED; 73,66655; 1; 0,5168921; 0,945474; False
2; DIED; 69,44236; 1; 0,4030247; 0,9768484; False
2; DIED; 70,24248; 1; 0,425015; 0,9107188; False
2; DIED; 75,12003; 1; 0,5558779; 0,9578071; False
2; DIED; 34,0804; 0; 0,4077644; 0,8838038; False
2; DIED; 50,14115; 1; 0,5564483; 0,8832342; False
2; DIED; 39,71925; 0; 0,5594603; 1; False
2; DIED; 74,47638; 1; 0,5385577; 0,9572362; False
2; DIED; 74,63684; 1; 0,5428651; 0,9525314; False
2; DIED; 37,90186; 0; 0,5107177; 1; False
2; DIED; 70,97583; 1; 0,4449103; 0,9677644; False
2; DIED; 33,06943; 0; 0,3795196; 1; False
2; DIED; 67,54217; 1; 0,348976; 1; False
2; DIED; 76,28522; 1; 0,5876138; 0,856016; False
2; DIED; 36,11594; 0; 0,4630243; 1; False
2; DIED; 51,68458; 1; 0,5986465; 1; False
3; DIED; 67,543; 1; 0,3490004; 1; False
3; DIED; 34,8241; 0; 0,428148; 0,9660591; False
3; DIED; 53,10172; 1; 0,6387159; 1; False
3; DIED; 50,24543; 1; 0,5592667; 1; False
3; DIED; 71,80208; 1; 0,467119; 0,9202422; True
3; DIED; 77,24205; 1; 0,6142192; 0,8903258; False
3; DIED; 18,12593; 0; 0,6549887; 1; False
3; DIED; 33,21484; 0; 0,3836279; 0,9241638; False
3; DIED; 35,1493; 0; 0,436981; 0,9521029; False
3; DIED; 42,33059; 1; 0,3427414; 0,8928664; False
3; DIED; 50,34325; 1; 0,5619143; 0,8936662; False
3; DIED; 18,01305; 0; 0,6516663; 0,9687381; False
3; DIED; 45,53228; 1; 0,4329024; 1; True
3; DIED; 19,10485; 0; 0,6845039; 0,9708626; False
3; DIED; 47,25061; 1; 0,4791151; 0,9113164; False
3; DIED; 36,24292; 0; 0,4664275; 0,900336; False
3; DIED; 18,04319; 0; 0,6525521; 0,9037201; False
3; DIED; 69,5818; 1; 0,4068826; 0,9034246; False
4; DIED; 67,89075; 1; 0,3591377; 0,9362917; False
4; DIED; 36,74583; 0; 0,479878; 0,86352; False
4; DIED; 49,40284; 1; 0,5365855; 1; False
4; DIED; 20,78516; 0; 0,7391816; 0,8841392; False
4; DIED; 39,52062; 0; 0,5540942; 0,7333143; False
4; DIED; 10,71429; 0; 0,4522357; 1; False
4; DIED; 67,67152; 1; 0,3527623; 0,9915703; False
