Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; SURVIVED; 37,90073; 0; 0,5106879; 1; False
1; SURVIVED; 71,06549; 1; 0,4473293; 0,9049085; False
1; SURVIVED; 76,62024; 1; 0,5968626; 0,9230954; False
1; SURVIVED; 73,43083; 1; 0,5106014; 1; False
1; SURVIVED; 48,61259; 1; 0,5154517; 1; False
1; SURVIVED; 73,25329; 1; 0,5058658; 0,9405379; False
1; SURVIVED; 69,68927; 1; 0,409848; 1; False
1; SURVIVED; 40,16439; 0; 0,5715387; 0,937043; False
1; SURVIVED; 74,84872; 1; 0,5485628; 0,9347577; False
1; SURVIVED; 36,52383; 0; 0,4739453; 1; False
1; SURVIVED; 75,16408; 1; 0,5570676; 0,984242; False
1; SURVIVED; 76,34236; 1; 0,5891865; 0,9564638; False
1; SURVIVED; 74,8377; 1; 0,5482663; 0,9160504; False
1; SURVIVED; 76,02761; 1; 0,5805441; 1; False
1; SURVIVED; 75,45584; 1; 0,5649657; 0,9718693; True
1; SURVIVED; 72,31064; 1; 0,4807185; 0,9363135; False
1; SURVIVED; 74,52917; 1; 0,5399741; 1; False
1; SURVIVED; 69,63246; 1; 0,4082813; 0,9693804; False
1; SURVIVED; 73,08433; 1; 0,5013599; 0,9253823; False
1; SURVIVED; 74,99158; 1; 0,5524117; 0,9456375; False
1; SURVIVED; 76,36372; 1; 0,589775; 0,9033042; False
1; SURVIVED; 71,01101; 1; 0,4458597; 1; False
1; SURVIVED; 71,74106; 1; 0,4654844; 1; False
1; SURVIVED; 70,5466; 1; 0,4332912; 1; True
1; SURVIVED; 73,97463; 1; 0,5251224; 1; False
1; SURVIVED; 46,29414; 1; 0,4534873; 0,9308459; False
1; SURVIVED; 72,47972; 1; 0,4852327; 0,9828996; False
1; SURVIVED; 70,13338; 1; 0,4220361; 1; False
1; SURVIVED; 71,31508; 1; 0,4540505; 0,9576584; False
1; SURVIVED; 71,2623; 1; 0,4526307; 1; False
1; SURVIVED; 70,9636; 1; 0,4445801; 0,9567507; False
2; SURVIVED; 68,95786; 1; 0,389523; 1; False
2; SURVIVED; 72,39353; 1; 0,482932; 1; False
2; SURVIVED; 67,7422; 1; 0,3548234; 1; False
2; SURVIVED; 40,48512; 0; 0,5802933; 1; False
2; SURVIVED; 45,68169; 1; 0,4369553; 0,9553848; True
2; SURVIVED; 68,63433; 1; 0,380413; 0,9958588; False
2; SURVIVED; 69,59821; 1; 0,4073359; 0,9089299; False
2; SURVIVED; 71,74181; 1; 0,4655048; 1; False
2; SURVIVED; 70,09748; 1; 0,4210546; 1; False
2; SURVIVED; 73,34801; 1; 0,5083921; 0,8798897; False
2; SURVIVED; 43,24975; 0; 0,6586509; 1; False
2; SURVIVED; 73,93002; 1; 0,52393; 0,9015239; False
2; SURVIVED; 68,63682; 1; 0,3804832; 1; False
2; SURVIVED; 76,3614; 1; 0,589711; 1; False
2; SURVIVED; 76,1905; 1; 0,5850101; 1; False
2; SURVIVED; 73,99974; 1; 0,5257938; 0,9909304; False
2; SURVIVED; 49,4678; 1; 0,5383276; 0,8162092; False
2; SURVIVED; 74,94642; 1; 0,5511944; 0,9225229; False
2; SURVIVED; 76,98267; 1; 0,6069463; 0,8959654; False
2; SURVIVED; 68,5044; 1; 0,376731; 0,9339991; False
2; SURVIVED; 73,65291; 1; 0,516528; 1; False
2; SURVIVED; 71,33166; 1; 0,4544964; 1; False
2; SURVIVED; 75,10273; 1; 0,5554107; 0,9776664; False
2; SURVIVED; 74,40959; 1; 0,5367666; 0,8896073; False
2; SURVIVED; 51,77495; 1; 0,6011566; 1; False
2; SURVIVED; 37,17802; 0; 0,4914129; 1; False
2; SURVIVED; 76,96092; 1; 0,6063389; 0,9357058; False
2; SURVIVED; 70,24603; 1; 0,4251118; 0,9974495; False
2; SURVIVED; 70,78127; 1; 0,4396518; 1; False
3; SURVIVED; 73,22289; 1; 0,5050548; 0,9864727; False
3; SURVIVED; 72,40781; 1; 0,4833131; 0,9353896; False
3; SURVIVED; 18,77025; 0; 0,6742625; 1; False
3; SURVIVED; 70,5327; 1; 0,4329139; 0,9868158; False
3; SURVIVED; 71,9944; 1; 0,4722667; 1; False
3; SURVIVED; 65,88355; 1; 0,2984172; 1; True
3; SURVIVED; 50,82555; 1; 0,575022; 0,9675938; False
3; SURVIVED; 39,94075; 0; 0,5654606; 0,9454937; False
3; SURVIVED; 71,63791; 1; 0,4627196; 1; False
3; SURVIVED; 53,23283; 1; 0,6425125; 0,9882162; False
3; SURVIVED; 69,74305; 1; 0,4113294; 0,8684421; False
3; SURVIVED; 49,1422; 1; 0,5296045; 0,7500771; False
3; SURVIVED; 48,32405; 1; 0,5077529; 0,930368; False
3; SURVIVED; 48,48689; 1; 0,5120972; 0,9564187; False
3; SURVIVED; 47,45178; 1; 0,4844869; 0,8307723; False
3; SURVIVED; 47,58286; 1; 0,487985; 0,9990414; False
3; SURVIVED; 45,08105; 1; 0,420605; 0,9401096; False
3; SURVIVED; 37,93563; 0; 0,5116189; 0,8533618; False
3; SURVIVED; 49,69017; 1; 0,5442982; 0,9973336; False
