Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 34,0308; 0; 0,4063943; 0,9798743; False
1; DIED; 40,28096; 0; 0,574715; 0,939595; False
1; DIED; 39,02805; 0; 0,5408387; 0,9089431; False
1; DIED; 72,80677; 1; 0,4939579; 1; False
1; DIED; 45,04405; 1; 0,4195927; 0,9310097; True
1; DIED; 71,48661; 1; 0,4586598; 1; False
1; DIED; 34,59385; 0; 0,4218667; 1; False
1; DIED; 74,64349; 1; 0,5430438; 1; False
1; DIED; 40,71847; 0; 0,5866947; 1; False
1; DIED; 36,40786; 0; 0,4708432; 0,9548336; False
1; DIED; 73,84399; 1; 0,521631; 1; False
1; DIED; 71,39827; 1; 0,4562868; 1; False
1; DIED; 74,60328; 1; 0,5419636; 0,9050404; False
1; DIED; 74,61112; 1; 0,5421743; 1; False
1; DIED; 38,93789; 0; 0,5384192; 0,972491; False
1; DIED; 75,05554; 1; 0,554137; 0,906278; False
1; DIED; 70,67514; 1; 0,4367778; 1; False
1; DIED; 35,45484; 0; 0,4452434; 0,9633796; False
1; DIED; 40,69848; 0; 0,5861451; 1; False
1; SURVIVED; 37,90073; 0; 0,5106879; 1; False
1; SURVIVED; 71,06549; 1; 0,4473293; 0,9049085; False
1; SURVIVED; 76,62024; 1; 0,5968626; 0,9230954; False
1; SURVIVED; 73,43083; 1; 0,5106014; 1; False
1; SURVIVED; 48,61259; 1; 0,5154517; 1; False
1; SURVIVED; 73,25329; 1; 0,5058658; 0,9405379; False
1; SURVIVED; 69,68927; 1; 0,409848; 1; False
1; SURVIVED; 40,16439; 0; 0,5715387; 0,937043; False
1; SURVIVED; 74,84872; 1; 0,5485628; 0,9347577; False
1; SURVIVED; 36,52383; 0; 0,4739453; 1; False
1; SURVIVED; 75,16408; 1; 0,5570676; 0,984242; False
1; SURVIVED; 76,34236; 1; 0,5891865; 0,9564638; False
1; SURVIVED; 74,8377; 1; 0,5482663; 0,9160504; False
1; SURVIVED; 76,02761; 1; 0,5805441; 1; False
1; SURVIVED; 75,45584; 1; 0,5649657; 0,9718693; True
1; SURVIVED; 72,31064; 1; 0,4807185; 0,9363135; False
1; SURVIVED; 74,52917; 1; 0,5399741; 1; False
1; SURVIVED; 69,63246; 1; 0,4082813; 0,9693804; False
1; SURVIVED; 73,08433; 1; 0,5013599; 0,9253823; False
1; SURVIVED; 74,99158; 1; 0,5524117; 0,9456375; False
1; SURVIVED; 76,36372; 1; 0,589775; 0,9033042; False
1; SURVIVED; 71,01101; 1; 0,4458597; 1; False
1; SURVIVED; 71,74106; 1; 0,4654844; 1; False
1; SURVIVED; 70,5466; 1; 0,4332912; 1; True
1; SURVIVED; 73,97463; 1; 0,5251224; 1; False
1; SURVIVED; 46,29414; 1; 0,4534873; 0,9308459; False
1; SURVIVED; 72,47972; 1; 0,4852327; 0,9828996; False
1; SURVIVED; 70,13338; 1; 0,4220361; 1; False
1; SURVIVED; 71,31508; 1; 0,4540505; 0,9576584; False
1; SURVIVED; 71,2623; 1; 0,4526307; 1; False
1; SURVIVED; 70,9636; 1; 0,4445801; 0,9567507; False
2; DIED; 32,21576; 0; 0,355024; 0,9989137; False
2; DIED; 76,42037; 1; 0,591337; 1; False
2; DIED; 42,21327; 0; 0,6285175; 0,8896701; False
2; DIED; 42,80195; 0; 0,6454915; 0,9617909; False
2; DIED; 42,36274; 0; 0,6327954; 1; False
2; DIED; 73,66655; 1; 0,5168921; 0,945474; False
2; DIED; 69,44236; 1; 0,4030247; 0,9768484; False
2; DIED; 70,24248; 1; 0,425015; 0,9107188; False
2; DIED; 75,12003; 1; 0,5558779; 0,9578071; False
2; DIED; 34,0804; 0; 0,4077644; 0,8838038; False
2; DIED; 50,14115; 1; 0,5564483; 0,8832342; False
2; DIED; 39,71925; 0; 0,5594603; 1; False
