Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 70,23788; 1; 0,4248895; 0; False
1; DIED; 73,25244; 1; 0,5058431; 0,01802436; False
1; DIED; 74,05378; 1; 0,5272388; 0; False
1; DIED; 39,02701; 0; 0,5408109; 0; False
1; DIED; 35,60754; 0; 0,4493612; 0; False
1; DIED; 40,84101; 0; 0,5900679; 0,08021581; False
1; DIED; 40,34626; 0; 0,5764971; 0; False
1; DIED; 37,73072; 0; 0,5061529; 0,09231956; False
1; DIED; 71,87125; 1; 0,4689712; 0,01737064; False
1; DIED; 72,30338; 1; 0,4805245; 0,002441034; False
1; DIED; 76,22379; 1; 0,5859246; 0,03931112; False
1; DIED; 73,0504; 1; 0,5004552; 0; False
1; DIED; 69,44622; 1; 0,4031318; 0,09519138; False
1; DIED; 39,45295; 0; 0,552269; 0,07666891; False
1; DIED; 76,05138; 1; 0,5811948; 0,07314163; False
1; DIED; 40,75901; 0; 0,5878098; 0; False
1; DIED; 39,7239; 0; 0,5595862; 0,02712864; False
2; DIED; 50,97157; 1; 0,5790104; 0; False
2; DIED; 70,60516; 1; 0,4348805; 0; False
2; DIED; 47,71971; 1; 0,491636; 0; False
2; DIED; 53,35644; 2; 0,469467; 0,135308; False
2; DIED; 35,51874; 0; 0,4469674; 0; False
2; DIED; 16,3827; 0; 0,605086; 0,1161797; False
2; DIED; 34,54235; 0; 0,4204584; 0; False
2; DIED; 43,20036; 1; 0,3680581; 0,0793565; False
2; DIED; 40,38766; 0; 0,577628; 0,006577171; False
2; DIED; 38,03053; 0; 0,5141512; 0,07505447; False
2; DIED; 39,40057; 0; 0,5508572; 0; False
2; DIED; 70,36523; 1; 0,4283605; 0,002147689; False
2; DIED; 71,5356; 1; 0,4599748; 0,05500865; False
2; DIED; 70,00256; 1; 0,4184564; 0,005699124; False
2; DIED; 72,41565; 1; 0,4835225; 0,0422528; False
2; DIED; 70,83379; 1; 0,4410727; 0; False
2; DIED; 40,01044; 0; 0,5673526; 0,1488686; False
2; DIED; 38,3633; 0; 0,5230376; 0,001459733; False
2; DIED; 69,58797; 1; 0,4070528; 0,005991563; False
2; DIED; 35,88016; 0; 0,4566959; 0,07922007; False
2; DIED; 32,11142; 0; 0,3519803; 0; False
3; DIED; 69,84848; 1; 0,4142291; 0; False
3; DIED; 71,49021; 1; 0,4587564; 0,07153687; False
3; DIED; 70,20033; 1; 0,4238647; 0,1533468; False
3; DIED; 44,02902; 0; 0,6821676; 0; False
3; DIED; 44,85356; 0; 0,7081131; 0; False
3; DIED; 37,41398; 0; 0,4977062; 0,1705645; False
3; DIED; 40,10531; 0; 0,5699309; 0,169159; False
3; DIED; 31,85113; 0; 0,3443339; 0,03588558; False
3; DIED; 37,61721; 0; 0,5031255; 0; False
3; DIED; 36,1508; 0; 0,463959; 0,03080878; False
3; DIED; 30,34576; 0; 0,2982754; 0,003319219; False
3; DIED; 69,19721; 1; 0,3962127; 0,0501555; False
3; DIED; 73,17989; 1; 0,5039082; 0,1283891; False
3; DIED; 67,5282; 1; 0,348566; 0; False
3; DIED; 64,15335; 1; 0,2396788; 0; False
3; DIED; 72,00332; 1; 0,4725051; 0; False
3; DIED; 57,09873; 2; 0,5697519; 0; False
3; DIED; 36,72855; 0; 0,4794163; 0,06396343; False
3; DIED; 36,93939; 0; 0,485046; 0; False
3; DIED; 33,20804; 0; 0,383436; 0; False
3; DIED; 66,36328; 1; 0,31348; 0; False
4; DIED; 41,42741; 0; 0,6063339; 0; False
4; DIED; 37,08189; 0; 0,4888487; 0,08125169; False
4; DIED; 35,94798; 0; 0,4585176; 0,03853467; False
4; DIED; 74,71593; 1; 0,5449906; 0,01533256; False
4; DIED; 68,27963; 1; 0,3703274; 0,08943478; False
4; DIED; 49,01756; 2; 0,349232; 0; False
4; DIED; 35,05237; 0; 0,4343525; 0,130204; False
