Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; SURVIVED; 35,2663; 0; 0,4401489; 0,01511933; False
1; SURVIVED; 39,57375; 0; 0,5555283; 0,05964892; False
1; SURVIVED; 36,45325; 0; 0,4720577; 0; False
1; SURVIVED; 36,27953; 0; 0,4674079; 0; False
1; SURVIVED; 69,48999; 1; 0,4043438; 0; False
1; SURVIVED; 71,17154; 1; 0,4501872; 0,03196032; False
1; SURVIVED; 73,53114; 1; 0,5132781; 0,04895639; False
1; SURVIVED; 51,61022; 2; 0,4223141; 0,004330076; False
1; SURVIVED; 34,36052; 0; 0,4154752; 0,02004884; False
1; SURVIVED; 72,64896; 1; 0,4897486; 0; False
1; SURVIVED; 73,00981; 1; 0,4993726; 0; False
1; SURVIVED; 37,02739; 0; 0,4873945; 0,07657523; False
1; SURVIVED; 70,15049; 1; 0,4225037; 0; False
1; SURVIVED; 76,36661; 1; 0,5898547; 0; False
1; SURVIVED; 71,70988; 1; 0,4646492; 0; False
1; SURVIVED; 73,2982; 1; 0,5070636; 0,05013838; False
1; SURVIVED; 50,11929; 1; 0,5558577; 0; False
1; SURVIVED; 73,02937; 1; 0,4998943; 0; False
1; SURVIVED; 70,79812; 1; 0,4401077; 0; False
1; SURVIVED; 71,06078; 1; 0,4472022; 0; False
1; SURVIVED; 69,58375; 1; 0,4069364; 0; False
1; SURVIVED; 73,10172; 1; 0,5018236; 0,08286345; False
1; SURVIVED; 71,21485; 1; 0,4513536; 0,009049788; False
1; SURVIVED; 69,37526; 1; 0,4011641; 0,02228273; False
1; SURVIVED; 69,66972; 1; 0,409309; 0; False
1; SURVIVED; 77,23164; 2; 0,439211; 0; False
1; SURVIVED; 72,40036; 1; 0,4831142; 0,06758265; False
1; SURVIVED; 71,32369; 1; 0,4542822; 0,03931997; False
1; SURVIVED; 73,78313; 1; 0,5200054; 0,02279292; False
1; SURVIVED; 72,19478; 1; 0,4776235; 0,08345804; False
1; SURVIVED; 70,95503; 1; 0,4443489; 0,03710382; False
1; SURVIVED; 74,29654; 1; 0,5337366; 0; False
1; SURVIVED; 75,13611; 1; 0,556312; 0; False
2; SURVIVED; 67,21712; 1; 0,3393756; 0; False
2; SURVIVED; 70,0162; 1; 0,4188299; 0,02666001; False
2; SURVIVED; 73,5405; 1; 0,5135278; 0,1284427; False
2; SURVIVED; 71,51477; 1; 0,4594158; 0; False
