Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 70,23788; 1; 0,4248895; 0; False
1; DIED; 73,25244; 1; 0,5058431; 0,01802436; False
1; DIED; 74,05378; 1; 0,5272388; 0; False
1; DIED; 39,02701; 0; 0,5408109; 0; False
1; DIED; 35,60754; 0; 0,4493612; 0; False
1; DIED; 40,84101; 0; 0,5900679; 0,08021581; False
1; DIED; 40,34626; 0; 0,5764971; 0; False
1; DIED; 37,73072; 0; 0,5061529; 0,09231956; False
1; DIED; 71,87125; 1; 0,4689712; 0,01737064; False
1; DIED; 72,30338; 1; 0,4805245; 0,002441034; False
1; DIED; 76,22379; 1; 0,5859246; 0,03931112; False
1; DIED; 73,0504; 1; 0,5004552; 0; False
1; DIED; 69,44622; 1; 0,4031318; 0,09519138; False
1; DIED; 39,45295; 0; 0,552269; 0,07666891; False
1; DIED; 76,05138; 1; 0,5811948; 0,07314163; False
1; DIED; 40,75901; 0; 0,5878098; 0; False
1; DIED; 39,7239; 0; 0,5595862; 0,02712864; False
1; SURVIVED; 35,2663; 0; 0,4401489; 0,01511933; False
1; SURVIVED; 39,57375; 0; 0,5555283; 0,05964892; False
1; SURVIVED; 36,45325; 0; 0,4720577; 0; False
1; SURVIVED; 36,27953; 0; 0,4674079; 0; False
1; SURVIVED; 69,48999; 1; 0,4043438; 0; False
1; SURVIVED; 71,17154; 1; 0,4501872; 0,03196032; False
1; SURVIVED; 73,53114; 1; 0,5132781; 0,04895639; False
1; SURVIVED; 51,61022; 2; 0,4223141; 0,004330076; False
1; SURVIVED; 34,36052; 0; 0,4154752; 0,02004884; False
1; SURVIVED; 72,64896; 1; 0,4897486; 0; False
1; SURVIVED; 73,00981; 1; 0,4993726; 0; False
1; SURVIVED; 37,02739; 0; 0,4873945; 0,07657523; False
1; SURVIVED; 70,15049; 1; 0,4225037; 0; False
1; SURVIVED; 76,36661; 1; 0,5898547; 0; False
1; SURVIVED; 71,70988; 1; 0,4646492; 0; False
1; SURVIVED; 73,2982; 1; 0,5070636; 0,05013838; False
1; SURVIVED; 50,11929; 1; 0,5558577; 0; False
1; SURVIVED; 73,02937; 1; 0,4998943; 0; False
1; SURVIVED; 70,79812; 1; 0,4401077; 0; False
1; SURVIVED; 71,06078; 1; 0,4472022; 0; False
1; SURVIVED; 69,58375; 1; 0,4069364; 0; False
1; SURVIVED; 73,10172; 1; 0,5018236; 0,08286345; False
1; SURVIVED; 71,21485; 1; 0,4513536; 0,009049788; False
1; SURVIVED; 69,37526; 1; 0,4011641; 0,02228273; False
1; SURVIVED; 69,66972; 1; 0,409309; 0; False
1; SURVIVED; 77,23164; 2; 0,439211; 0; False
1; SURVIVED; 72,40036; 1; 0,4831142; 0,06758265; False
1; SURVIVED; 71,32369; 1; 0,4542822; 0,03931997; False
1; SURVIVED; 73,78313; 1; 0,5200054; 0,02279292; False
1; SURVIVED; 72,19478; 1; 0,4776235; 0,08345804; False
1; SURVIVED; 70,95503; 1; 0,4443489; 0,03710382; False
1; SURVIVED; 74,29654; 1; 0,5337366; 0; False
1; SURVIVED; 75,13611; 1; 0,556312; 0; False
2; DIED; 50,97157; 1; 0,5790104; 0; False
2; DIED; 70,60516; 1; 0,4348805; 0; False
2; DIED; 47,71971; 1; 0,491636; 0; False
2; DIED; 53,35644; 2; 0,469467; 0,135308; False
2; DIED; 35,51874; 0; 0,4469674; 0; False
2; DIED; 16,3827; 0; 0,605086; 0,1161797; False
2; DIED; 34,54235; 0; 0,4204584; 0; False
2; DIED; 43,20036; 1; 0,3680581; 0,0793565; False
2; DIED; 40,38766; 0; 0,577628; 0,006577171; False
2; DIED; 38,03053; 0; 0,5141512; 0,07505447; False
2; DIED; 39,40057; 0; 0,5508572; 0; False
2; DIED; 70,36523; 1; 0,4283605; 0,002147689; False
2; DIED; 71,5356; 1; 0,4599748; 0,05500865; False
