Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 71,30556; 1; 0,4537945; 0,4004089; False
1; DIED; 72,98401; 1; 0,4986846; 0,5143653; False
1; DIED; 40,86995; 0; 0,5908657; 0,4422516; False
1; DIED; 34,14285; 0; 0,4094873; 0,4509517; False
1; DIED; 73,1976; 1; 0,5043805; 0,4092628; False
1; DIED; 71,89056; 1; 0,469488; 0,4110007; False
1; DIED; 13,61581; 0; 0,5297903; 0,4494769; False
1; DIED; 71,07756; 1; 0,4476548; 0,4834678; False
1; DIED; 70,63866; 1; 0,4357892; 0,4131603; False
1; DIED; 38,60206; 0; 0,5294222; 0,4953028; False
1; DIED; 70,52576; 1; 0,4327255; 0,4633343; False
1; DIED; 74,67621; 1; 0,543923; 0,5913287; False
1; DIED; 46,40546; 1; 0,4564803; 0,4536752; False
1; DIED; 69,58153; 1; 0,4068751; 0,479992; False
1; DIED; 70,06003; 1; 0,42003; 0,5389415; False
1; DIED; 37,3664; 0; 0,4964373; 0,5755765; False
1; DIED; 70,50818; 1; 0,4322478; 0,4016096; False
1; DIED; 73,94197; 1; 0,5242493; 0,5505098; False
1; DIED; 34,73075; 0; 0,4256042; 0,4319286; False
1; DIED; 39,89622; 0; 0,5642529; 0,4233208; False
1; DIED; 35,94606; 0; 0,4584662; 0,4749139; False
2; DIED; 71,61728; 1; 0,4621664; 0,54235; False
2; DIED; 37,90696; 0; 0,510854; 0,4331416; False
2; DIED; 74,00326; 2; 0,3488126; 0,4905002; False
2; DIED; 47,5282; 1; 0,4865265; 0,4802686; False
2; DIED; 45,84244; 1; 0,4413065; 0,4654416; False
2; DIED; 34,91974; 0; 0,4307504; 0,4644091; False
2; DIED; 36,15027; 0; 0,4639446; 0,5441092; False
2; DIED; 70,61019; 1; 0,435017; 0,5554013; False
2; DIED; 75,95313; 1; 0,5785064; 0,4863578; False
2; DIED; 36,20908; 0; 0,4655207; 0,4822029; False
2; DIED; 37,37488; 0; 0,4966635; 0,4780783; False
2; DIED; 73,85606; 1; 0,5219533; 0,425349; False
2; DIED; 11,84285; 0; 0,4824688; 0,6661939; False
2; DIED; 72,11723; 1; 0,4755509; 0,4585258; False
2; DIED; 19,52134; 0; 0,6975087; 0,5157835; False
2; DIED; 73,1482; 1; 0,5030631; 0,5945362; False
2; DIED; 54,50492; 1; 0,6804041; 0,3908882; False
2; DIED; 15,08454; 0; 0,5693662; 0,4807852; False
2; DIED; 34,97333; 0; 0,4322067; 0,547473; False
2; DIED; 35,5035; 0; 0,4465564; 0,530277; False
2; DIED; 33,24984; 0; 0,3846141; 0,5802306; False
2; DIED; 39,0183; 0; 0,5405771; 0,4597633; False
2; DIED; 74,90688; 1; 0,550129; 0,5740831; False
2; DIED; 68,0567; 1; 0,3639307; 0,3519554; False
2; DIED; 37,73581; 0; 0,5062885; 0,6058081; False
3; DIED; 37,24233; 0; 0,4931285; 0,4773575; False
3; DIED; 32,56033; 0; 0,3649946; 0,5059285; False
3; DIED; 68,49834; 1; 0,3765589; 0,5576327; False
3; DIED; 33,62336; 0; 0,395083; 0,5416337; False
3; DIED; 67,01623; 1; 0,3333756; 0,3986138; False
3; DIED; 33,06063; 0; 0,3792706; 0,4526343; False
3; DIED; 34,19827; 0; 0,4110144; 0,543227; False
3; DIED; 50,03166; 1; 0,5534928; 0,5946065; False
3; DIED; 33,19159; 0; 0,382972; 0,3915945; False
3; DIED; 32,7884; 0; 0,3715303; 0,5254484; False
3; DIED; 71,72825; 1; 0,4651412; 0,5380484; False
3; DIED; 41,88195; 0; 0,619105; 0,4492184; False
3; DIED; 69,22156; 1; 0,396891; 0,4694411; False
3; DIED; 75,54429; 1; 0,5673664; 0,3363849; False
4; DIED; 67,74968; 1; 0,3550412; 0,6437562; False
4; DIED; 43,18389; 0; 0,6567008; 0,5969359; False
4; DIED; 68,38451; 1; 0,3733208; 0,4532254; True
4; DIED; 47,13527; 1; 0,4760332; 0,4092587; False
4; DIED; 36,93343; 0; 0,484887; 0,4364844; False
4; DIED; 50,04464; 1; 0,5538428; 0,4109351; False
4; DIED; 54,65063; 2; 0,504017; 0,4629537; False
4; DIED; 28,92932; 0; 0,2508194; 0,5723488; False
4; DIED; 35,41769; 0; 0,4442405; 0,5750975; False
4; DIED; 38,52276; 0; 0,5273007; 0,4290548; False
4; DIED; 31,91995; 0; 0,3463635; 0,3322064; False
4; DIED; 36,98116; 0; 0,4861608; 0,47662; False
4; DIED; 36,40809; 0; 0,4708493; 0,3487805; False
4; DIED; 75,2823; 1; 0,5602642; 0,3982135; False
4; DIED; 72,04141; 1; 0,4735239; 0,4948141; False
4; DIED; 35,22998; 0; 0,4391659; 0,4204712; False
5; DIED; 39,17651; 0; 0,5448271; 0,4146635; False
5; DIED; 70,67615; 1; 0,4368052; 0,5305045; False
5; DIED; 30,51644; 0; 0,3036837; 0,6260742; False
5; DIED; 68,56599; 1; 0,3784781; 0,7912231; False
5; DIED; 62,61811; 1; 0,1775649; 0,6748243; False
5; DIED; 40,71376; 0; 0,5865651; 0,4712187; False
5; DIED; 64,27339; 1; 0,2440432; 0,551159; False
5; DIED; 48,18205; 1; 0,5039659; 0,5307772; False
5; DIED; 39,25079; 0; 0,5468246; 0,5628609; False
5; DIED; 27,50144; 0; 0,1958609; 0,6690321; False
5; DIED; 37,42072; 0; 0,497886; 0,371739; False
5; DIED; 38,27767; 0; 0,5207497; 0,4284595; False
5; DIED; 63,8544; 1; 0,2285631; 0,347242; True
5; DIED; 64,90228; 1; 0,2661124; 0,5718147; False
5; DIED; 79,14502; 1; 0,6694676; 0,4332699; False
5; DIED; 62,15665; 1; 0,1553884; 0,5996972; False
5; DIED; 43,4035; 0; 0,6632249; 0,4292485; False
5; DIED; 38,29724; 0; 0,5212726; 0,1748365; False
5; DIED; 34,33315; 0; 0,4147239; 0,5351018; False
6; DIED; 71,70743; 1; 0,4645833; 0,6698256; False
6; DIED; 41,9577; 0; 0,6212488; 0,3981034; False
6; DIED; 53,57192; 1; 0,6524167; 0,5727109; False
6; DIED; 76,70117; 1; 0,5991069; 0,4365624; False
6; DIED; 44,03261; 0; 0,6822779; 0,69708; False
6; DIED; 68,24701; 1; 0,3693942; 0,5762713; False
6; DIED; 65,52622; 1; 0,286909; 0,5277475; False
6; DIED; 36,54333; 0; 0,4744668; 0,5068633; False
6; DIED; 36,76788; 0; 0,480467; 0,3962683; False
6; DIED; 44,53101; 0; 0,6978143; 0,5750008; False
6; DIED; 42,02081; 1; 0,3335131; 0,4217527; False
6; DIED; 38,21732; 0; 0,5191378; 0,4899389; False
6; DIED; 40,76332; 0; 0,5879282; 0,4743479; False
6; DIED; 34,94667; 0; 0,4314823; 0,4013501; False
6; DIED; 73,0307; 1; 0,4999298; 0,5347158; False
6; DIED; 77,32914; 1; 0,6166725; 0,5399055; False
6; DIED; 35,85688; 0; 0,4560705; 0,6481614; False
6; DIED; 72,91023; 1; 0,4967171; 0,4333437; False
6; DIED; 68,07762; 1; 0,3645329; 0,3476382; False
6; DIED; 72,1936; 1; 0,477592; 0,2486879; False
6; DIED; 74,13739; 1; 0,5294757; 0,6102234; False
7; DIED; 39,4221; 0; 0,5514374; 0,3637827; False
7; DIED; 36,02324; 0; 0,4605378; 0,4450457; False
7; DIED; 74,96069; 1; 0,5515789; 0,3129188; False
7; DIED; 41,43945; 0; 0,6066703; 0,4857616; False
7; DIED; 31,9529; 0; 0,3473329; 0,1267398; False
7; DIED; 28,33247; 0; 0,228994; 0,4446352; False
7; DIED; 67,43427; 1; 0,3458033; 0,4468019; False
7; DIED; 66,78171; 1; 0,3263024; 0,6496008; False
7; DIED; 69,86447; 1; 0,4146685; 0,4597778; False
7; DIED; 71,5267; 1; 0,4597359; 0,3959833; False
7; DIED; 72,57135; 1; 0,4876779; 0,4750542; False
7; DIED; 38,20742; 0; 0,5188735; 0,431592; False
7; DIED; 40,05185; 0; 0,5684776; 0,5313433; False
7; DIED; 66,05276; 1; 0,3037776; 0,6222566; False
7; DIED; 45,9564; 0; 0,7451475; 0,4343173; False
7; DIED; 38,31875; 0; 0,5218472; 0,6979443; False
7; DIED; 34,34475; 0; 0,4150422; 0,4510301; False
7; DIED; 73,32185; 1; 0,5076943; 0,3999703; False
7; DIED; 40,56197; 1; 0,2880725; 0,5667176; True
7; DIED; 69,73894; 1; 0,4112163; 0,4538527; False
8; DIED; 35,83183; 0; 0,4553971; 0,4691479; False
8; DIED; 29,59332; 0; 0,2737036; 0,6985047; False
8; DIED; 36,96682; 0; 0,4857779; 0,4590456; False
8; DIED; 76,73656; 1; 0,6000898; 0,4142019; False
8; DIED; 65,83935; 1; 0,2970078; 0,5807022; False
8; DIED; 65,91695; 1; 0,2994794; 0,5578609; False
8; DIED; 29,22776; 0; 0,2612649; 0,714275; False
8; DIED; 34,99737; 0; 0,4328597; 0,6886194; False
8; DIED; 76,17057; 1; 0,5844631; 0,7662147; False
8; DIED; 71,27094; 1; 0,4528631; 0,6443534; False
8; DIED; 63,15347; 1; 0,2008379; 0,5450614; False
8; DIED; 70,22131; 1; 0,4244374; 0,3783344; False
8; DIED; 75,23516; 1; 0,5589891; 0,4294221; False
8; DIED; 65,84643; 1; 0,2972338; 0,658491; False
8; DIED; 38,47162; 0; 0,5259331; 0,3595651; False
8; DIED; 64,23306; 1; 0,2425826; 0,3611914; False
8; DIED; 45,41479; 1; 0,429709; 0,6328336; False
8; DIED; 28,35629; 0; 0,2298922; 0,6084619; False
9; DIED; 52,60682; 1; 0,6245348; 0,3504146; False
9; DIED; 29,8565; 0; 0,2824439; 0,5889137; False
9; DIED; 29,25923; 0; 0,2623504; 0,7112466; False
9; DIED; 46,08251; 1; 0,4477882; 0,3998329; False
9; DIED; 50,99763; 1; 0,5797234; 0,5708353; False
9; DIED; 44,62804; 1; 0,4081593; 0,483394; False
