Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; SURVIVED; 71,20284; 1; 0,4510302; 0,4682712; False
1; SURVIVED; 39,26803; 0; 0,5472885; 0,5057054; False
1; SURVIVED; 72,07909; 1; 0,4745312; 0,4723144; False
1; SURVIVED; 71,17404; 1; 0,4502547; 0,4347964; False
1; SURVIVED; 69,88677; 1; 0,4152809; 0,4390345; True
1; SURVIVED; 73,73009; 1; 0,5185888; 0,493432; False
1; SURVIVED; 70,54829; 1; 0,4333374; 0,507342; False
1; SURVIVED; 45,67963; 1; 0,4368997; 0,4132913; False
1; SURVIVED; 36,01142; 0; 0,4602205; 0,5948082; False
1; SURVIVED; 47,18363; 1; 0,4773257; 0,4965828; False
1; SURVIVED; 72,76578; 1; 0,4928647; 0,5301161; False
1; SURVIVED; 72,24786; 1; 0,4790419; 0,5392193; False
1; SURVIVED; 38,83508; 0; 0,5356627; 0,5395206; False
1; SURVIVED; 73,36711; 1; 0,5089015; 0,5913813; False
1; SURVIVED; 75,55074; 1; 0,5675418; 0,5462415; False
1; SURVIVED; 70,86545; 1; 0,4419286; 0,5381321; False
1; SURVIVED; 69,39423; 1; 0,4016905; 0,5953552; False
1; SURVIVED; 73,73862; 1; 0,5188165; 0,5229248; False
1; SURVIVED; 44,61972; 1; 0,4079297; 0,5613894; True
1; SURVIVED; 71,69127; 1; 0,4641501; 0,4913597; False
1; SURVIVED; 71,5074; 1; 0,4592181; 0,4680598; False
1; SURVIVED; 71,19409; 1; 0,4507947; 0,5633326; False
1; SURVIVED; 74,65091; 1; 0,5432432; 0,4273871; False
1; SURVIVED; 72,95439; 1; 0,4978949; 0,5919695; False
1; SURVIVED; 41,11192; 0; 0,5975559; 0,5882144; False
1; SURVIVED; 76,50187; 1; 0,5935872; 0,4682324; False
1; SURVIVED; 45,14437; 1; 0,4223365; 0,4699364; False
1; SURVIVED; 69,39334; 1; 0,4016657; 0,5288152; False
1; SURVIVED; 70,16605; 1; 0,4229288; 0,4946405; False
2; SURVIVED; 70,52367; 1; 0,4326686; 0,5196001; False
2; SURVIVED; 67,59641; 1; 0,3505659; 0,5536919; False
2; SURVIVED; 68,66628; 1; 0,3813163; 0,4664022; False
2; SURVIVED; 71,37189; 1; 0,4555778; 0,6005348; False
2; SURVIVED; 77,50821; 1; 0,6217353; 0,5665431; False
2; SURVIVED; 50,90137; 2; 0,4028127; 0,4616399; False
2; SURVIVED; 72,6711; 1; 0,4903391; 0,4978329; False
2; SURVIVED; 54,626; 2; 0,50336; 0,4262934; False
2; SURVIVED; 35,46955; 0; 0,4456404; 0,5007528; False
2; SURVIVED; 72,2348; 1; 0,4786929; 0,3159685; False
2; SURVIVED; 33,69747; 0; 0,3971486; 0,5284654; False
2; SURVIVED; 70,41001; 1; 0,4295791; 0,4821319; False
2; SURVIVED; 72,67134; 1; 0,4903457; 0,5284565; False
2; SURVIVED; 71,95462; 1; 0,4712025; 0,5327257; False
2; SURVIVED; 76,38749; 1; 0,59043; 0,5348142; False
2; SURVIVED; 74,44946; 1; 0,5378355; 0,5802504; False
2; SURVIVED; 70,66668; 1; 0,4365485; 0,517964; False
2; SURVIVED; 75,80084; 1; 0,5743482; 0,5258496; False
2; SURVIVED; 76,01523; 1; 0,580205; 0,5621998; False
2; SURVIVED; 50,97932; 1; 0,5792224; 0,4900452; False
2; SURVIVED; 68,87247; 1; 0,3871263; 0,542842; False
2; SURVIVED; 77,34189; 1; 0,6170321; 0,4556906; False
2; SURVIVED; 73,25385; 1; 0,5058806; 0,4696787; False
2; SURVIVED; 67,12625; 1; 0,3366681; 0,4882962; False
2; SURVIVED; 70,42309; 1; 0,4299349; 0,6758765; False
3; SURVIVED; 67,61361; 1; 0,3510695; 0,7725633; False
3; SURVIVED; 74,57458; 1; 0,5411931; 0,5624045; False
3; SURVIVED; 67,29626; 1; 0,3417249; 0,56783; False
3; SURVIVED; 36,27144; 0; 0,4671913; 0,4594376; False
3; SURVIVED; 66,50746; 1; 0,3179292; 0,5030546; False
3; SURVIVED; 65,878; 1; 0,2982403; 0,5776252; False
3; SURVIVED; 40,37994; 0; 0,577417; 0,5700344; False
3; SURVIVED; 66,36369; 1; 0,3134926; 0,5062612; False
3; SURVIVED; 67,51006; 1; 0,3480332; 0,513845; False
3; SURVIVED; 69,236; 1; 0,3972931; 0,6235808; False
3; SURVIVED; 42,21243; 0; 0,6284934; 0,5672415; False
3; SURVIVED; 41,46535; 0; 0,6073943; 0,4769866; False
3; SURVIVED; 70,37307; 1; 0,4285738; 0,4118624; False
3; SURVIVED; 47,29856; 1; 0,480396; 0,4450693; False
3; SURVIVED; 73,83127; 1; 0,521291; 0,4994701; False
3; SURVIVED; 72,07045; 1; 0,4743004; 0,5419887; False
3; SURVIVED; 72,98666; 1; 0,4987552; 0,4737662; False
3; SURVIVED; 50,68779; 1; 0,5712683; 0,4090734; False
3; SURVIVED; 45,78294; 1; 0,439697; 0,5880498; False
3; SURVIVED; 72,96458; 1; 0,4981664; 0,5147664; False
3; SURVIVED; 67,41971; 1; 0,345374; 0,4624478; False
3; SURVIVED; 69,76497; 1; 0,4119328; 0,5464116; False
3; SURVIVED; 74,06668; 1; 0,5275839; 0,4588982; False
3; SURVIVED; 72,34818; 2; 0,2983524; 0,4578607; False
3; SURVIVED; 73,78296; 1; 0,5200008; 0,4648515; False
3; SURVIVED; 76,47985; 1; 0,5929788; 0,5554986; False
3; SURVIVED; 79,64565; 1; 0,6847342; 0,3924595; False
3; SURVIVED; 70,33312; 1; 0,427486; 0,2197546; False
3; SURVIVED; 67,86261; 1; 0,3583223; 0,4661573; False
3; SURVIVED; 71,84795; 1; 0,4683474; 0,5544375; False
3; SURVIVED; 66,93707; 1; 0,3309966; 0,5102951; False
3; SURVIVED; 73,92275; 1; 0,5237357; 0,3964795; False
3; SURVIVED; 73,04075; 1; 0,5001977; 0,5024911; False
3; SURVIVED; 38,42199; 0; 0,5246064; 0,4024524; False
3; SURVIVED; 69,54473; 1; 0,405858; 0,3686509; False
3; SURVIVED; 73,59784; 1; 0,515058; 0,5668523; False
4; SURVIVED; 70,65941; 1; 0,4363516; 0,5090294; False
4; SURVIVED; 76,35698; 1; 0,5895892; 0,4307549; False
4; SURVIVED; 69,9977; 1; 0,4183234; 0,5040395; False
4; SURVIVED; 80,63859; 1; 0,7162997; 0,4506097; False
4; SURVIVED; 74,84135; 2; 0,3730409; 0,5336831; False
4; SURVIVED; 78,07563; 1; 0,6379624; 0,3712169; False
4; SURVIVED; 68,47726; 1; 0,37596; 0,8697268; False
4; SURVIVED; 76,13844; 1; 0,5835813; 0,570354; False
4; SURVIVED; 64,12003; 1; 0,2384577; 0,5551672; False
4; SURVIVED; 71,52951; 1; 0,4598115; 0,5423509; False
4; SURVIVED; 28,72144; 0; 0,2433698; 0,5348526; False
4; SURVIVED; 38,81239; 0; 0,5350546; 0,5183908; False
4; SURVIVED; 65,54964; 1; 0,2876716; 0,4733806; False
4; SURVIVED; 38,7858; 0; 0,5343421; 0,5599365; False
4; SURVIVED; 74,90481; 1; 0,5500733; 0,4752744; False
4; SURVIVED; 74,54666; 1; 0,5404436; 0,5518488; False
4; SURVIVED; 68,46085; 1; 0,3754938; 0,6417117; False
4; SURVIVED; 49,58573; 1; 0,5414925; 0,5261378; False
4; SURVIVED; 74,07329; 2; 0,3508651; 0,4525534; False
4; SURVIVED; 15,02344; 0; 0,5677056; 0,4430748; False
4; SURVIVED; 69,04005; 1; 0,3918247; 0,4405816; False
4; SURVIVED; 75,31294; 1; 0,5610936; 0,4846954; False
4; SURVIVED; 70,83761; 1; 0,4411759; 0,2108446; False
4; SURVIVED; 48,18893; 1; 0,5041492; 0,4751394; False
4; SURVIVED; 73,08858; 1; 0,5014734; 0,4768941; False
4; SURVIVED; 71,9992; 1; 0,4723951; 0,4146725; False
4; SURVIVED; 78,54664; 1; 0,6516739; 0,5383448; False
4; SURVIVED; 72,84181; 1; 0,4948925; 0,4596399; False
4; SURVIVED; 29,47096; 0; 0,2695807; 0,6033906; False
4; SURVIVED; 69,62241; 1; 0,408004; 0,4049582; False
4; SURVIVED; 31,00534; 0; 0,318888; 0,4219188; False
4; SURVIVED; 64,02889; 1; 0,2350956; 0,6136492; False
4; SURVIVED; 74,97523; 1; 0,551971; 0,6082299; False
4; SURVIVED; 69,37088; 1; 0,4010424; 0,3172669; False
5; SURVIVED; 67,79754; 1; 0,3564334; 0,4832596; False
5; SURVIVED; 72,87122; 1; 0,495677; 0,4803164; False
5; SURVIVED; 71,84557; 1; 0,4682838; 0,625389; False
5; SURVIVED; 77,53582; 1; 0,6225183; 0,4204132; False
5; SURVIVED; 73,39309; 2; 0,3306762; 0,5276671; False
5; SURVIVED; 71,46798; 1; 0,4581595; 0,608525; False
5; SURVIVED; 75,02595; 1; 0,5533386; 0,4702055; False
5; SURVIVED; 45,49857; 0; 0,7293891; 0,3320808; False
5; SURVIVED; 69,89037; 1; 0,4153795; 0,4803152; False
5; SURVIVED; 40,26469; 0; 0,5742715; 0,5238362; False
5; SURVIVED; 69,67307; 1; 0,4094015; 0,4437747; False
5; SURVIVED; 70,72733; 1; 0,4381918; 0,2441555; False
5; SURVIVED; 77,05465; 1; 0,6089599; 0,5164481; False
5; SURVIVED; 67,44687; 1; 0,3461745; 0,1770473; False
5; SURVIVED; 75,03744; 1; 0,5536487; 0,4430129; False
5; SURVIVED; 65,31295; 1; 0,2799079; 0,5714064; False
5; SURVIVED; 73,64398; 1; 0,5162896; 0,5230452; False
5; SURVIVED; 77,27172; 1; 0,6150544; 0,6131103; False
5; SURVIVED; 69,28316; 1; 0,3986054; 0,3315049; False
5; SURVIVED; 71,7469; 1; 0,4656411; 0,5580669; False
5; SURVIVED; 77,66535; 1; 0,6262004; 0,4982026; False
5; SURVIVED; 72,49135; 1; 0,4855431; 0,3022794; False
5; SURVIVED; 69,2218; 1; 0,3968978; 0,4399356; False
5; SURVIVED; 70,90251; 1; 0,4429303; 0,6222472; False
5; SURVIVED; 71,45563; 1; 0,4578279; 0,5201995; False
5; SURVIVED; 71,88189; 1; 0,4692561; 0,487818; False
5; SURVIVED; 41,72355; 0; 0,6146367; 0,6042929; False
5; SURVIVED; 71,19984; 1; 0,4509495; 0,479126; False
5; SURVIVED; 48,75916; 1; 0,5193651; 0,4360554; False
5; SURVIVED; 45,01336; 1; 0,4187524; 0,5055249; True
5; SURVIVED; 74,75394; 1; 0,5460127; 0,5931222; False
6; SURVIVED; 72,2117; 1; 0,4780757; 0,481984; False
6; SURVIVED; 67,10993; 1; 0,3361808; 0,4350057; False
6; SURVIVED; 67,81013; 1; 0,3567992; 0,5173941; False
6; SURVIVED; 71,18342; 1; 0,4505072; 0,6411017; False
6; SURVIVED; 74,02815; 1; 0,5265534; 0,6300914; False
6; SURVIVED; 68,75613; 1; 0,3838522; 0,1631662; False
6; SURVIVED; 72,38442; 1; 0,4826887; 0,4785824; False
6; SURVIVED; 77,48267; 1; 0,6210116; 0,5636213; False
6; SURVIVED; 72,44177; 1; 0,4842197; 0,4958223; False
6; SURVIVED; 38,31815; 0; 0,5218311; 0,4447374; False
6; SURVIVED; 38,86752; 0; 0,5365322; 0,4829341; False
6; SURVIVED; 39,55048; 0; 0,5549001; 0,3951704; False
6; SURVIVED; 69,5607; 1; 0,4062994; 0,5358666; False
6; SURVIVED; 73,22176; 1; 0,505025; 0,4732195; False
6; SURVIVED; 39,79024; 1; 0,2622703; 0,4743886; True
6; SURVIVED; 68,23669; 1; 0,3690989; 0,4594243; False
6; SURVIVED; 45,03807; 1; 0,4194289; 0,509949; False
6; SURVIVED; 70,39367; 1; 0,4291344; 0,5198468; False
6; SURVIVED; 67,04882; 1; 0,3343526; 0,504766; False
6; SURVIVED; 71,81302; 1; 0,4674121; 0,3827586; False
6; SURVIVED; 75,04334; 2; 0,378781; 0,5370257; False
6; SURVIVED; 67,71816; 1; 0,3541229; 0,4741077; True
6; SURVIVED; 44,48537; 0; 0,6963733; 0,4119079; False
6; SURVIVED; 72,13327; 1; 0,4759798; 0,4856041; False
6; SURVIVED; 75,5312; 1; 0,5670112; 0,3353165; False
6; SURVIVED; 69,93199; 1; 0,4165218; 0,5151437; False
6; SURVIVED; 65,1512; 1; 0,2745261; 0,5421072; False
6; SURVIVED; 70,57024; 1; 0,4339329; 0,5085969; False
6; SURVIVED; 69,19445; 1; 0,3961359; 0,582885; False
7; SURVIVED; 37,54572; 0; 0,5012192; 0,4710843; False
7; SURVIVED; 50,95114; 1; 0,5784521; 0,4875558; False
7; SURVIVED; 70,56959; 1; 0,4339152; 0,5954842; False
