Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
1; DIED; 71,30556; 1; 0,4537945; 0,4004089; False
1; DIED; 72,98401; 1; 0,4986846; 0,5143653; False
1; DIED; 40,86995; 0; 0,5908657; 0,4422516; False
1; DIED; 34,14285; 0; 0,4094873; 0,4509517; False
1; DIED; 73,1976; 1; 0,5043805; 0,4092628; False
1; DIED; 71,89056; 1; 0,469488; 0,4110007; False
1; DIED; 13,61581; 0; 0,5297903; 0,4494769; False
1; DIED; 71,07756; 1; 0,4476548; 0,4834678; False
1; DIED; 70,63866; 1; 0,4357892; 0,4131603; False
1; DIED; 38,60206; 0; 0,5294222; 0,4953028; False
1; DIED; 70,52576; 1; 0,4327255; 0,4633343; False
1; DIED; 74,67621; 1; 0,543923; 0,5913287; False
1; DIED; 46,40546; 1; 0,4564803; 0,4536752; False
1; DIED; 69,58153; 1; 0,4068751; 0,479992; False
1; DIED; 70,06003; 1; 0,42003; 0,5389415; False
1; DIED; 37,3664; 0; 0,4964373; 0,5755765; False
1; DIED; 70,50818; 1; 0,4322478; 0,4016096; False
1; DIED; 73,94197; 1; 0,5242493; 0,5505098; False
1; DIED; 34,73075; 0; 0,4256042; 0,4319286; False
1; DIED; 39,89622; 0; 0,5642529; 0,4233208; False
1; DIED; 35,94606; 0; 0,4584662; 0,4749139; False
1; SURVIVED; 71,20284; 1; 0,4510302; 0,4682712; False
1; SURVIVED; 39,26803; 0; 0,5472885; 0,5057054; False
1; SURVIVED; 72,07909; 1; 0,4745312; 0,4723144; False
1; SURVIVED; 71,17404; 1; 0,4502547; 0,4347964; False
1; SURVIVED; 69,88677; 1; 0,4152809; 0,4390345; True
1; SURVIVED; 73,73009; 1; 0,5185888; 0,493432; False
1; SURVIVED; 70,54829; 1; 0,4333374; 0,507342; False
1; SURVIVED; 45,67963; 1; 0,4368997; 0,4132913; False
1; SURVIVED; 36,01142; 0; 0,4602205; 0,5948082; False
1; SURVIVED; 47,18363; 1; 0,4773257; 0,4965828; False
1; SURVIVED; 72,76578; 1; 0,4928647; 0,5301161; False
1; SURVIVED; 72,24786; 1; 0,4790419; 0,5392193; False
1; SURVIVED; 38,83508; 0; 0,5356627; 0,5395206; False
1; SURVIVED; 73,36711; 1; 0,5089015; 0,5913813; False
1; SURVIVED; 75,55074; 1; 0,5675418; 0,5462415; False
1; SURVIVED; 70,86545; 1; 0,4419286; 0,5381321; False
1; SURVIVED; 69,39423; 1; 0,4016905; 0,5953552; False
1; SURVIVED; 73,73862; 1; 0,5188165; 0,5229248; False
1; SURVIVED; 44,61972; 1; 0,4079297; 0,5613894; True
1; SURVIVED; 71,69127; 1; 0,4641501; 0,4913597; False
1; SURVIVED; 71,5074; 1; 0,4592181; 0,4680598; False
1; SURVIVED; 71,19409; 1; 0,4507947; 0,5633326; False
1; SURVIVED; 74,65091; 1; 0,5432432; 0,4273871; False
1; SURVIVED; 72,95439; 1; 0,4978949; 0,5919695; False
1; SURVIVED; 41,11192; 0; 0,5975559; 0,5882144; False
1; SURVIVED; 76,50187; 1; 0,5935872; 0,4682324; False
1; SURVIVED; 45,14437; 1; 0,4223365; 0,4699364; False
1; SURVIVED; 69,39334; 1; 0,4016657; 0,5288152; False
1; SURVIVED; 70,16605; 1; 0,4229288; 0,4946405; False
2; DIED; 71,61728; 1; 0,4621664; 0,54235; False
2; DIED; 37,90696; 0; 0,510854; 0,4331416; False
2; DIED; 74,00326; 2; 0,3488126; 0,4905002; False
2; DIED; 47,5282; 1; 0,4865265; 0,4802686; False
2; DIED; 45,84244; 1; 0,4413065; 0,4654416; False
2; DIED; 34,91974; 0; 0,4307504; 0,4644091; False
2; DIED; 36,15027; 0; 0,4639446; 0,5441092; False
2; DIED; 70,61019; 1; 0,435017; 0,5554013; False
2; DIED; 75,95313; 1; 0,5785064; 0,4863578; False
2; DIED; 36,20908; 0; 0,4655207; 0,4822029; False
2; DIED; 37,37488; 0; 0,4966635; 0,4780783; False
2; DIED; 73,85606; 1; 0,5219533; 0,425349; False
2; DIED; 11,84285; 0; 0,4824688; 0,6661939; False
2; DIED; 72,11723; 1; 0,4755509; 0,4585258; False
2; DIED; 19,52134; 0; 0,6975087; 0,5157835; False
2; DIED; 73,1482; 1; 0,5030631; 0,5945362; False
2; DIED; 54,50492; 1; 0,6804041; 0,3908882; False
2; DIED; 15,08454; 0; 0,5693662; 0,4807852; False
2; DIED; 34,97333; 0; 0,4322067; 0,547473; False
2; DIED; 35,5035; 0; 0,4465564; 0,530277; False
2; DIED; 33,24984; 0; 0,3846141; 0,5802306; False
2; DIED; 39,0183; 0; 0,5405771; 0,4597633; False
2; DIED; 74,90688; 1; 0,550129; 0,5740831; False
2; DIED; 68,0567; 1; 0,3639307; 0,3519554; False
2; DIED; 37,73581; 0; 0,5062885; 0,6058081; False
2; SURVIVED; 70,52367; 1; 0,4326686; 0,5196001; False
2; SURVIVED; 67,59641; 1; 0,3505659; 0,5536919; False
2; SURVIVED; 68,66628; 1; 0,3813163; 0,4664022; False
2; SURVIVED; 71,37189; 1; 0,4555778; 0,6005348; False
2; SURVIVED; 77,50821; 1; 0,6217353; 0,5665431; False
2; SURVIVED; 50,90137; 2; 0,4028127; 0,4616399; False
2; SURVIVED; 72,6711; 1; 0,4903391; 0,4978329; False
2; SURVIVED; 54,626; 2; 0,50336; 0,4262934; False
2; SURVIVED; 35,46955; 0; 0,4456404; 0,5007528; False
2; SURVIVED; 72,2348; 1; 0,4786929; 0,3159685; False
2; SURVIVED; 33,69747; 0; 0,3971486; 0,5284654; False
2; SURVIVED; 70,41001; 1; 0,4295791; 0,4821319; False
2; SURVIVED; 72,67134; 1; 0,4903457; 0,5284565; False
2; SURVIVED; 71,95462; 1; 0,4712025; 0,5327257; False
2; SURVIVED; 76,38749; 1; 0,59043; 0,5348142; False
2; SURVIVED; 74,44946; 1; 0,5378355; 0,5802504; False
2; SURVIVED; 70,66668; 1; 0,4365485; 0,517964; False
2; SURVIVED; 75,80084; 1; 0,5743482; 0,5258496; False
2; SURVIVED; 76,01523; 1; 0,580205; 0,5621998; False
2; SURVIVED; 50,97932; 1; 0,5792224; 0,4900452; False
2; SURVIVED; 68,87247; 1; 0,3871263; 0,542842; False
2; SURVIVED; 77,34189; 1; 0,6170321; 0,4556906; False
2; SURVIVED; 73,25385; 1; 0,5058806; 0,4696787; False
2; SURVIVED; 67,12625; 1; 0,3366681; 0,4882962; False
2; SURVIVED; 70,42309; 1; 0,4299349; 0,6758765; False
3; DIED; 37,24233; 0; 0,4931285; 0,4773575; False
3; DIED; 32,56033; 0; 0,3649946; 0,5059285; False
3; DIED; 68,49834; 1; 0,3765589; 0,5576327; False
3; DIED; 33,62336; 0; 0,395083; 0,5416337; False
3; DIED; 67,01623; 1; 0,3333756; 0,3986138; False
3; DIED; 33,06063; 0; 0,3792706; 0,4526343; False
3; DIED; 34,19827; 0; 0,4110144; 0,543227; False
3; DIED; 50,03166; 1; 0,5534928; 0,5946065; False
3; DIED; 33,19159; 0; 0,382972; 0,3915945; False
3; DIED; 32,7884; 0; 0,3715303; 0,5254484; False
3; DIED; 71,72825; 1; 0,4651412; 0,5380484; False
3; DIED; 41,88195; 0; 0,619105; 0,4492184; False
3; DIED; 69,22156; 1; 0,396891; 0,4694411; False
3; DIED; 75,54429; 1; 0,5673664; 0,3363849; False
3; SURVIVED; 67,61361; 1; 0,3510695; 0,7725633; False
3; SURVIVED; 74,57458; 1; 0,5411931; 0,5624045; False
3; SURVIVED; 67,29626; 1; 0,3417249; 0,56783; False
3; SURVIVED; 36,27144; 0; 0,4671913; 0,4594376; False
3; SURVIVED; 66,50746; 1; 0,3179292; 0,5030546; False
3; SURVIVED; 65,878; 1; 0,2982403; 0,5776252; False
3; SURVIVED; 40,37994; 0; 0,577417; 0,5700344; False
3; SURVIVED; 66,36369; 1; 0,3134926; 0,5062612; False
3; SURVIVED; 67,51006; 1; 0,3480332; 0,513845; False
3; SURVIVED; 69,236; 1; 0,3972931; 0,6235808; False
3; SURVIVED; 42,21243; 0; 0,6284934; 0,5672415; False
3; SURVIVED; 41,46535; 0; 0,6073943; 0,4769866; False
3; SURVIVED; 70,37307; 1; 0,4285738; 0,4118624; False
3; SURVIVED; 47,29856; 1; 0,480396; 0,4450693; False
3; SURVIVED; 73,83127; 1; 0,521291; 0,4994701; False
3; SURVIVED; 72,07045; 1; 0,4743004; 0,5419887; False
3; SURVIVED; 72,98666; 1; 0,4987552; 0,4737662; False
3; SURVIVED; 50,68779; 1; 0,5712683; 0,4090734; False
3; SURVIVED; 45,78294; 1; 0,439697; 0,5880498; False
3; SURVIVED; 72,96458; 1; 0,4981664; 0,5147664; False
3; SURVIVED; 67,41971; 1; 0,345374; 0,4624478; False
3; SURVIVED; 69,76497; 1; 0,4119328; 0,5464116; False
3; SURVIVED; 74,06668; 1; 0,5275839; 0,4588982; False
3; SURVIVED; 72,34818; 2; 0,2983524; 0,4578607; False
3; SURVIVED; 73,78296; 1; 0,5200008; 0,4648515; False
3; SURVIVED; 76,47985; 1; 0,5929788; 0,5554986; False
3; SURVIVED; 79,64565; 1; 0,6847342; 0,3924595; False
3; SURVIVED; 70,33312; 1; 0,427486; 0,2197546; False
3; SURVIVED; 67,86261; 1; 0,3583223; 0,4661573; False
3; SURVIVED; 71,84795; 1; 0,4683474; 0,5544375; False
3; SURVIVED; 66,93707; 1; 0,3309966; 0,5102951; False
3; SURVIVED; 73,92275; 1; 0,5237357; 0,3964795; False
3; SURVIVED; 73,04075; 1; 0,5001977; 0,5024911; False
3; SURVIVED; 38,42199; 0; 0,5246064; 0,4024524; False
3; SURVIVED; 69,54473; 1; 0,405858; 0,3686509; False
3; SURVIVED; 73,59784; 1; 0,515058; 0,5668523; False
4; DIED; 67,74968; 1; 0,3550412; 0,6437562; False
